,username,mean,median,variance,number of tweets,Type of Data
40,AMC_Cinemas_SA,0.5970149253731343,0.0,0.568946313210069,67,Skewed
41,AMCtvUK,3.1742209631728047,2.0,12.160865186302756,706,Skewed
42,AMD,445.6923076923077,406.5,33572.53994082841,104,Skewed
43,AMDGaming,408.79411764705884,332.0,29419.54584775086,68,Skewed
44,AMDNews,262.6666666666667,262.0,266.88888888888886,3,Symmetric
45,AMDPC,548.625,480.0,46272.234375,8,Symmetric
46,AMDRyzen,416.23333333333335,360.0,26772.584949494943,330,Skewed
47,AMDServer,1840.75,1797.0,1810764.6875,4,Symmetric
48,AMD_UK,659.3333333333334,515.0,156744.22222222222,3,Symmetric
49,ARC_maldives,95.33333333333333,83.0,964.2222222222222,3,Skewed
50,ARTravs,70.04,58.0,1227.5584,25,Skewed
51,ASPolice,81.71900826446281,68.5,1691.3673246362953,242,Skewed
52,ASTROARENA,116.5,116.5,3660.25,2,Symmetric
53,ASTROGaming,147.67495711835335,129.0,6432.788858274319,2332,Skewed
54,ASTROGamingDE,51.5,51.5,42.25,2,Symmetric
55,ASTROGamingJP,53.5,53.5,20.25,2,Symmetric
56,ASTROGamingMX,88.0,88.0,0.0,1,Symmetric
57,ASTROGamingUK,83.66666666666667,78.0,1525.2888888888886,45,Skewed
58,ASTRO_Staff,10735.682926829268,7397.0,58281234.65556217,41,Skewed
59,ASUS,219.2037914691943,204.0,3115.242829226657,211,Symmetric
60,ASUSAU,3.128205128205128,3.0,6.101512163050625,195,Skewed
61,ASUSEgypt,2.6511627906976742,2.0,2.459707950243375,43,Skewed
62,ASUSIndia,216.7117296222664,213.0,10650.296621859301,503,Symmetric
63,ASUSPT,6.0,6.0,10.333333333333334,12,Symmetric
64,ASUSUK,5.472012102874433,5.0,10.566917131472279,661,Skewed
65,ASUSUSA,21.904246461282266,21.0,109.20731752127183,1201,Symmetric
66,ASUS_Indonesia,11.857142857142858,11.0,32.26530612244897,14,Symmetric
67,ASUS_ROG_IN,21.67365269461078,20.0,101.32762917279214,334,Symmetric
68,ASUS_Saudia,2.55,2.0,3.2475,20,Symmetric
69,ASUSph,4.862745098039215,4.0,16.02037677816224,204,Skewed
70,AVIVAIRELAND,135.70967741935485,105.0,4351.496357960457,31,Skewed
71,AVIVAStadium,112.17647058823529,85.0,3114.8512110726642,17,Skewed
72,AW1goalkeeping,357.0,357.0,37636.0,2,Symmetric
73,AXA,71.53968253968254,60.0,901.1373141849332,63,Skewed
74,AXAHealth,100.5,100.5,552.25,2,Symmetric
75,AXAIM,48.0,48.0,0.0,1,Symmetric
76,AXAIM_UK,256.0,256.0,0.0,1,Symmetric
77,AXAResearchFund,63.0,63.0,0.0,1,Symmetric
78,AXASegurosEs,69.0,69.0,0.0,1,Symmetric
79,AXA_PH,1115.0,852.0,806407.2727272727,11,Skewed
80,AXA_Partners,42.0,42.0,0.0,1,Symmetric
81,AandSPCC,79.88888888888889,73.0,1292.9876543209875,9,Skewed
82,AaronBell4NUL,454.7142857142857,199.0,161855.06122448976,7,Skewed
83,AaronEmersonPR,4.111111111111111,4.0,1.8765432098765433,9,Symmetric
84,Aaryn_Williams,258.1136363636364,223.0,17489.373450413226,176,Skewed
85,AbbieEaton44,443.8888888888889,269.0,175330.58024691363,108,Skewed
86,Abs_NBC,200.0,200.0,0.0,1,Symmetric
87,Accenture,119.0204081632653,66.0,12626.40094405109,147,Skewed
88,AccentureDACH,54.0,54.0,0.0,1,Symmetric
89,AccentureFed,61.5,61.5,272.25,2,Symmetric
90,AccentureIndia,387.5,97.5,221756.61363636365,22,Skewed
91,AccentureJobsIN,59.666666666666664,58.0,9.555555555555557,3,Skewed
92,AccentureSong,114.74074074074075,62.0,8714.858710562414,27,Skewed
93,Accenture_Irl,71.63157894736842,69.0,685.9168975069251,19,Skewed
94,Accenture_PT,53.0,53.0,0.0,1,Symmetric
95,Accenture_US,73.7,63.5,948.4099999999999,10,Symmetric
96,Acer,115.61458333333333,70.5,10041.570203993057,96,Skewed
97,AcerAmerica,217.98529411764707,255.0,16441.514489619378,68,Symmetric
98,AcerEducation,706.5,568.0,266545.25,6,Skewed
99,Acer_India,183.42857142857142,117.0,24793.356009070285,63,Skewed
100,ActuallyEmerson,33.859154929577464,4.0,3820.768895060504,142,Skewed
101,AdamWilliamsSJA,138.16666666666666,140.0,363.8055555555556,6,Symmetric
102,Adamscherr99,2953.744680851064,2054.0,6287300.870982345,47,Skewed
103,AdrBell,163.7,134.0,3617.5099999999998,20,Skewed
104,AfterTheBellWWE,387.65,396.0,38988.3775,40,Skewed
105,AftertheBell,528.8461538461538,478.0,81920.89940828402,13,Symmetric
106,AhlamAlShamsi,367.6470588235294,290.0,50846.934256055356,17,Skewed
107,AhmadJawadBTH,128.95238095238096,112.5,1678.1167800453516,84,Skewed
108,AirtelMalawiPlc,220.8,239.0,3262.96,5,Symmetric
109,AirtelNigeria,1039.2916666666667,577.5,1357849.8940972222,96,Skewed
110,Airtel_Ug,226.86776859504133,204.0,10646.808961136534,121,Skewed
111,Airtel_Zambia,190.16666666666666,157.5,6663.472222222223,6,Skewed
112,AlanFarrell,126.33333333333333,112.0,1090.888888888889,3,Skewed
113,AlaskaAir,569.5045871559633,513.0,38016.59860281121,109,Skewed
114,Alcoa,3.6923076923076925,4.0,1.4822485207100593,52,Skewed
115,AlcoaFoundation,2.857142857142857,3.0,2.4081632653061225,7,Symmetric
116,AlexArthur1,67.64285714285714,60.0,2761.872448979592,28,Skewed
117,AllanBell247,265.29473684210524,227.0,28721.407867036014,95,Skewed
118,Allstate,318.0,318.0,0.0,1,Symmetric
119,AllstateCup,877.6666666666666,380.0,732522.2222222224,6,Skewed
120,Amariibell,413.3333333333333,305.0,35718.00000000001,9,Skewed
121,AmazonAds,365.3333333333333,339.0,6050.88888888889,3,Symmetric
122,AmazonAdviser,858.0,858.0,0.0,1,Symmetric
123,AmazonAlexaIN,584.2,640.0,47566.159999999996,5,Symmetric
124,AmazonFashion,316.0,316.0,0.0,1,Symmetric
125,AmazonFreevee,499.0,467.0,47418.0,7,Skewed
126,AmazonMusicIN,605.8846153846154,514.0,159280.52514792897,52,Skewed
127,AmazonMusicMX,247.0,247.0,0.0,1,Symmetric
128,AmazonMusicUK,594.9102564102565,414.0,211259.26117685737,78,Skewed
129,AmazonNewsEU,598.0,379.0,144365.33333333334,6,Skewed
130,AmazonNews_IN,503.075,324.0,93411.569375,40,Skewed
131,AmazonPhotos,465.0,465.0,0.0,1,Symmetric
132,AmazonPub,308.57894736842104,290.0,4162.717451523546,76,Skewed
133,AmazonScience,350.0,350.0,0.0,1,Symmetric
134,AmazonStudios,486.3533834586466,395.0,58576.86008253717,133,Skewed
135,AmazonreMARS,452.0,452.0,0.0,1,Symmetric
136,AmerIndependent,88.85436893203884,72.0,2270.043978831989,721,Skewed
137,AmericanExpress,70.8,55.0,1438.0,75,Skewed
138,AmexBusiness,44.0,44.0,0.0,1,Symmetric
139,AmexBusinessCan,66.5,66.5,342.25,2,Symmetric
140,AmexBusinessUK,86.5,86.5,55.25,4,Symmetric
141,AmexUK,109.9,87.5,5415.29,10,Skewed
142,Amtrak,238.88,232.5,1687.6256,50,Skewed
143,Amway,179.24615384615385,169.0,2697.2009467455623,65,Skewed
144,AmwayCanada,229.0,229.0,0.0,1,Symmetric
145,AmwayCenter,198.76923076923077,188.0,2924.1775147928997,26,Skewed
146,AmwayUS,136.48387096774192,134.0,318.894901144641,31,Skewed
147,AmyDuPontWKBT,72.0,65.0,787.2307692307693,13,Symmetric
148,AmyWilliamsMBE,192.64705882352942,187.0,3803.5224913494812,51,Skewed
149,AndreSmith_9,235.45,159.0,36029.947499999995,20,Skewed
150,AndrewBellBNN,425.0,425.0,0.0,1,Symmetric
151,AndyBell_info,145.0,128.0,1640.75,8,Skewed
152,Andy_Staples,227.00819672131146,167.5,22018.401572158025,122,Skewed
153,Andybebop,257.1875,215.0,16770.90234375,16,Skewed
154,AnneRabbitte,175.6,193.0,3042.2400000000002,5,Symmetric
155,AnneTEmerson,1.8412698412698412,2.0,3.202317964222727,189,Skewed
156,Applebees,113.38738738738739,97.0,2117.714795876958,111,Skewed
157,ArcDigi,70.16666666666667,63.0,223.1388888888889,6,Skewed
158,Arightside,358.5,202.0,81829.0,16,Skewed
159,ArlanWasHere,138.03655913978494,103.0,9656.714792461556,930,Skewed
160,Arm,59.333333333333336,61.5,120.13888888888887,24,Symmetric
161,Arthurvw1986,188.92105263157896,175.5,3711.9411357340723,76,Skewed
162,AshMWill,301.0,301.0,0.0,1,Symmetric
163,AshtonJEaton,189.0,149.5,18724.25,8,Skewed
164,AskLyft,804.0,804.0,0.0,1,Symmetric
165,AstroRadioNews,104.47058823529412,75.0,5382.405997693195,51,Skewed
166,AstroSafariUSA,74.0,74.0,0.0,1,Symmetric
167,Astro_Gempak,63.5,63.5,462.25,2,Symmetric
168,Astro_Suni,924.75,726.0,466237.3541666667,12,Skewed
169,AsusFrance,26.0,26.0,0.0,1,Symmetric
170,Augemer,2.0,2.0,0.0,1,Symmetric
171,AusAmbRHS,118.0,118.0,0.0,1,Symmetric
172,AusHCKenya,154.75,130.5,2820.6875,4,Skewed
173,AutomaticZen,260.55555555555554,210.0,25523.506172839505,27,Skewed
174,AvivaCanada,111.66666666666667,74.0,3069.555555555555,3,Skewed
175,AvivaKlompas,117.47826086956522,105.0,2529.3103969754256,115,Skewed
176,AvivaRShechter,81.6,71.0,511.03999999999996,5,Skewed
177,AvivaUK,69.0,70.0,2.0,3,Skewed
178,AvonFireRescue,69.5,56.0,1117.638888888889,36,Skewed
179,AvonIndia,97.01923076923077,76.0,3129.3650147928993,52,Skewed
180,AvonInsider,46.74576271186441,45.0,30.86756679115197,59,Skewed
181,AvonLakePolice,48.5,48.5,0.25,2,Symmetric
182,AvonPolice,59.36363636363637,52.0,186.23140495867767,11,Skewed
183,Avon_UK,56.07692307692308,53.0,98.2248520710059,13,Skewed
184,Azure,78.38271604938272,70.0,716.1251333638165,486,Skewed
185,BACARDI,94.88888888888889,74.0,2198.098765432099,9,Skewed
186,BEM_MRT,67.0,67.0,0.0,1,Symmetric
187,BGISD,59.50847457627118,54.0,263.84314852054,59,Skewed
188,BHudTV,296.1,119.5,79981.48999999999,10,Skewed
189,BNYMellon,50.666666666666664,47.0,94.88888888888887,3,Skewed
190,BWWings,1012.8153846153846,42.0,1744168.2889940827,130,Skewed
191,BWWingsCanada,2.888888888888889,2.0,7.65432098765432,9,Skewed
192,BWWingsCares,5.0,5.0,0.0,1,Symmetric
193,BWWingsKSA,0.8571428571428571,0.0,1.2653061224489797,21,Skewed
194,BWWingsMX,2.0,2.0,0.0,1,Symmetric
195,BWWingsOM,0.43283582089552236,0.0,0.39474270438850523,67,Skewed
196,BWWingsUAE,0.52,0.0,0.4896000000000001,75,Skewed
197,BWilliLiou,138.0,138.0,0.0,1,Symmetric
198,BacardiCanada,2.0,2.0,0.0,1,Symmetric
199,BacardiWIL,1.872093023255814,2.0,1.623174689021093,86,Symmetric
200,BarRefaeli,299.9166666666667,294.0,8906.909722222223,12,Symmetric
201,BarRescue,107.31724137931035,95.0,1411.3407372175982,290,Skewed
202,BarikiSmithMTV,128.44444444444446,126.0,2078.6913580246915,9,Symmetric
203,Barstool_LTB,215.46428571428572,162.0,18343.927295918365,56,Skewed
204,Bayer,294.625,261.5,9373.984375,8,Skewed
205,Bayer4Crops,310.64285714285717,316.0,6759.229591836735,14,Symmetric
206,Bayer4CropsUS,242.5,242.5,2970.25,2,Symmetric
207,BayerPharma,260.85714285714283,237.0,5450.693877551021,7,Skewed
208,BayerUS,380.8,429.0,21366.559999999998,5,Symmetric
209,Becsywecsy,175.56,156.0,3460.0864,50,Skewed
210,Bell,147.9090909090909,139.0,1042.628099173554,11,Skewed
211,Bell4lastRound,236.0,122.0,29562.0,3,Skewed
212,BellLabs,164.2,148.0,3675.2266666666674,15,Skewed
213,BellMediaPR,172.66666666666666,149.0,3500.222222222222,3,Skewed
214,BellMuseum,490.0,490.0,123904.0,2,Symmetric
215,BellRibeiroAddy,343.1743119266055,252.0,65817.72190893022,109,Skewed
216,BellX1,147.0,147.0,0.0,1,Symmetric
217,Bell_LetsTalk,381.88524590163934,257.5,91999.06879871004,122,Skewed
218,Bell_MTS,162.0,162.0,676.0,2,Symmetric
219,BenCameron23,655.0,655.0,0.0,1,Symmetric
220,Ben_Williams31,388.125,403.5,17121.984375,16,Symmetric
221,Benaresofficial,50.25,49.0,42.1875,4,Symmetric
222,BenjaminBell,463.0,463.0,14400.0,2,Symmetric
223,BernardDurkanTD,111.0,111.0,0.0,1,Symmetric
224,BerryCathal,145.1290322580645,123.0,2999.9188345473467,31,Skewed
225,BiancaaWills,435.0,435.0,100.0,2,Symmetric
226,BigVicWilliams,191.0,191.0,484.0,2,Symmetric
227,BikeMetro,46.5,46.5,0.25,2,Symmetric
228,BlackBerry,25.358381502890172,25.0,36.76867252497578,865,Symmetric
229,BlackShellMedia,56.0,56.0,0.0,1,Symmetric
230,BlueJeansNet,131.36363636363637,123.0,647.685950413223,11,Skewed
231,BobJWilliams,331.0,331.0,44100.0,2,Symmetric
232,BobbyMaximus,4.277777777777778,4.0,6.311728395061729,18,Skewed
233,Boeing,1046.7241379310344,895.0,179945.78596908442,29,Skewed
234,BoeingAirplanes,1031.1524390243903,907.0,139836.29993307556,164,Skewed
235,BoeingAustralia,652.0,652.0,0.0,1,Symmetric
236,BoeingDefense,820.2368421052631,764.5,49021.0228531856,38,Skewed
237,BoeingSpace,1100.6610169491526,946.0,198589.9867854065,59,Skewed
238,BoeingUK,1075.0,1043.0,114780.85714285714,7,Symmetric
239,Boeing_In,1601.888888888889,1090.0,2656614.0987654324,9,Skewed
240,BookofEllis,188.22222222222223,184.0,2521.283950617284,9,Skewed
241,BornFreeFDN,150.25102459016392,119.0,9504.409322720707,976,Skewed
242,BornFreeUSA,69.56923076923077,61.5,540.6298224852071,130,Skewed
243,Brad7News,133.66666666666666,138.0,37.55555555555555,3,Skewed
244,BrandoEaton,84.0,84.0,576.0,2,Symmetric
245,BrandonW_66,319.44444444444446,285.0,25349.35802469136,9,Skewed
246,Brett_Hudson,151.53591160220995,125.0,7649.674124721468,181,Skewed
247,BriaBellTV,377.8,353.0,45469.759999999995,10,Symmetric
248,BrittanyBabc7,201.33333333333334,199.5,3185.888888888889,6,Symmetric
249,BrookingsMetro,68.45454545454545,63.0,532.9752066115702,11,Symmetric
250,Browne4Dail,173.0,146.0,4578.0,3,Skewed
251,CAMKINGY,595.1666666666666,411.0,155048.47222222222,6,Skewed
252,CB1939Canarias,107.5,94.0,770.5833333333334,6,Skewed
253,CBA_News,97.1,89.0,329.29,10,Symmetric
254,CBC,138.9271844660194,91.0,13044.980134791216,618,Skewed
255,CBCAboutTime,79.66666666666667,63.0,589.5555555555555,3,Skewed
256,CBCAlerts,129.94437086092717,91.0,9396.6220709618,755,Skewed
257,CBCArts,79.97647058823529,67.0,1575.4112110726642,85,Skewed
258,CBCBusiness,71.97435897435898,56.0,957.5634451019068,39,Skewed
259,CBCCalgary,77.34375,64.5,1352.3943359375,320,Skewed
260,CBCCanada,72.5925925925926,60.0,1037.8628257887517,243,Skewed
261,CBCComedy,124.27272727272727,88.5,5476.289256198347,22,Skewed
262,CBCCrosstalk,560.0,560.0,0.0,1,Symmetric
263,CBCDay6,70.0,62.5,875.3846153846154,26,Skewed
264,CBCEdmonton,86.88511749347259,65.0,2358.117350312566,383,Skewed
265,CBCEnt,91.8125,76.5,2415.37734375,80,Skewed
266,CBCHamilton,62.42307692307692,51.5,576.3979289940828,26,Skewed
267,CBCHealth,84.97058823529412,63.0,2868.8520761245672,34,Skewed
268,CBCHereandNow,72.9047619047619,56.0,1247.609977324263,21,Skewed
269,CBCHfxTraffic,45.0,45.0,0.0,1,Symmetric
270,CBCHomestretch,57.333333333333336,46.0,386.8888888888889,3,Skewed
271,CBCIndigenous,109.6972972972973,79.0,5645.697560262965,370,Skewed
272,CBCInfoRad,168.0,168.0,5625.0,2,Symmetric
273,CBCKW891,62.14705882352941,57.0,293.65484429065737,34,Skewed
274,CBCKamloops,82.75,76.0,339.6875,4,Skewed
275,CBCKelowna,770.0,770.0,515524.0,2,Symmetric
276,CBCKids,143.36363636363637,100.5,11683.504132231405,22,Skewed
277,CBCLondon,63.925925925925924,56.0,489.9204389574759,54,Skewed
278,CBCManitoba,71.50387596899225,62.0,871.0406826512831,129,Skewed
279,CBCMontreal,120.9493670886076,66.0,12962.984778080434,79,Skewed
280,CBCMusic,82.29435483870968,62.0,2193.449645551508,248,Skewed
281,CBCNB,65.25698324022346,55.0,642.8613339159202,179,Skewed
282,CBCNL,77.83755458515284,65.0,1349.3727381247497,1145,Skewed
283,CBCNS,77.22165820642978,64.0,1356.6090740693023,591,Skewed
284,CBCNews,132.6614310645724,91.0,10890.503172123083,573,Skewed
285,CBCNorth,97.69620253164557,71.0,4742.667200769109,79,Skewed
286,CBCNowOrNever,61.0,61.0,324.0,2,Symmetric
287,CBCOlympics,131.55350236355824,91.0,9994.046879654377,2327,Skewed
288,CBCOnTheCoast,49.25,49.5,60.1875,4,Symmetric
289,CBCOttawa,78.36126373626374,63.0,1568.802180820553,728,Skewed
290,CBCPEI,66.655,62.5,449.92597500000005,200,Skewed
291,CBCPolitics,81.05961538461538,67.0,1671.990676775148,520,Skewed
292,CBCQuebec,46.0,46.0,0.0,1,Symmetric
293,CBCROJaipur,111.5,90.0,3743.25,6,Skewed
294,CBCRadioActive,134.0,134.0,0.0,1,Symmetric
295,CBCRadioNoon,49.0,49.0,0.0,1,Symmetric
296,CBCSask,83.28571428571429,69.5,2313.965986394558,42,Skewed
297,CBCSaskatoon,89.5,64.5,2403.75,8,Skewed
298,CBCScienceEnv,62.36666666666667,56.5,312.2988888888888,30,Skewed
299,CBCTheNational,123.38911022576362,89.0,7467.796800403523,753,Skewed
300,CBCToronto,96.55601659751038,72.0,3738.374662970679,1205,Skewed
301,CBCVancouver,76.18181818181819,71.0,539.4214876033058,11,Skewed
302,CBCWindsor,72.42857142857143,56.0,996.6258503401358,21,Skewed
303,CBCWorldNews,193.97368421052633,82.5,44577.709833795,38,Skewed
304,CBellRacing,348.04545454545456,293.0,36931.884297520664,176,Skewed
305,CDCTobaccoFree,114.96875,65.5,8554.0927734375,32,Skewed
306,CGrimesWWE,403.6666666666667,416.5,28791.222222222223,6,Symmetric
307,CHANEL,2192.29,1855.5,1044577.9258999999,100,Skewed
308,CHN_Metro_Water,90.0909090909091,73.0,2058.446280991736,22,Skewed
309,CIJ_Malaysia,57.333333333333336,64.0,102.88888888888887,3,Skewed
310,CISOZ,57.5,57.5,20.25,2,Symmetric
311,CJCJ_RL,280.86486486486484,216.0,26851.522279035795,37,Skewed
312,CNBCClosingBell,195.825,160.0,7500.544375,40,Skewed
313,CNN,1033.5111543765718,825.0,315585.0778142511,12327,Skewed
314,CNNAfrica,1432.1333333333334,985.0,1219251.3600000003,45,Skewed
315,CNNBusiness,829.1481481481482,697.0,99266.49657064471,27,Skewed
316,CNNFC,1443.4285714285713,1353.0,432555.95918367343,7,Symmetric
317,CNNHeroes,1010.3333333333334,827.0,339014.75555555546,15,Skewed
318,CNNOpinion,1568.0,809.0,1698420.6666666667,3,Skewed
319,CNNOriginals,1537.5,1537.5,7310.25,2,Symmetric
320,CNNPR,4249.1,1407.0,36245835.440000005,40,Skewed
321,CNNPhotos,794.0,699.0,83771.6,10,Skewed
322,CNNPolitics,1043.7817497648166,834.0,325562.3042012657,3189,Skewed
323,CNNStyle,1517.0,1517.0,32761.0,2,Symmetric
324,CNNTURKSpor,861.0,861.0,0.0,1,Symmetric
325,CNNTravel,670.3333333333334,654.0,566.8888888888888,3,Skewed
326,CNNUnderscored,1146.6666666666667,934.0,246880.22222222222,3,Skewed
327,CNN_AIR,2066.0,2066.0,0.0,1,Symmetric
328,CNN_Oppmann,16486.0,721.0,502227552.6666667,3,Skewed
329,CNNent,1143.4444444444443,784.0,329776.6913580247,9,Skewed
330,CNNnewsroom,1032.3721804511279,798.5,344092.12839900504,266,Skewed
331,CNTR4growth,51.0,51.0,0.0,1,Symmetric
332,COTYInc,92.0,92.0,0.0,1,Symmetric
333,CSChallengeFW,2.0082644628099175,2.0,1.9090226077453725,121,Symmetric
334,CSexton25,213.5,190.0,4344.75,4,Skewed
335,CTabatabaie,324.6666666666667,290.0,30827.555555555555,9,Skewed
336,CaJBoyce,162.0,162.0,484.0,2,Symmetric
337,CalWilliamsComm,159.25,155.0,1908.8541666666667,12,Skewed
338,CallMeAgent00,2932.5476190476193,2021.5,5089373.77154195,84,Skewed
339,CallMeCameron,177.0,177.0,0.0,1,Symmetric
340,Cam12Delport,1118.6744186046512,404.0,1410466.591671174,43,Skewed
341,Cam39Porter,619.0,619.0,0.0,1,Symmetric
342,CamChalmers400,208.0,208.0,2916.0,2,Symmetric
343,CamCox12,274.9375,237.0,18709.55859375,32,Skewed
344,CamTringale,235.5,235.5,5852.25,2,Symmetric
345,Cam_Cawthorne,302.4651162790698,251.0,25035.55110870741,43,Skewed
346,Cam_Johnston,252.2,180.0,17147.760000000002,10,Skewed
347,Cam_Jourdan,248.66666666666666,274.0,5720.888888888888,3,Symmetric
348,Cam_Mac_Millan,188.0,188.0,0.0,1,Symmetric
349,CamcamKennedy,313.0,313.0,22500.0,2,Symmetric
350,Cameron01Evans,237.5,237.5,9900.25,2,Symmetric
351,Cameron112,226.4,220.0,5028.639999999999,5,Symmetric
352,Cameron246bran,462.25,408.5,56653.020833333336,24,Skewed
353,Cameron7Ward,264.4,280.0,4221.039999999999,5,Symmetric
354,CameronAhmad,343.3103448275862,336.0,20196.145065398337,29,Skewed
355,CameronAtfield,704.3333333333334,485.0,203627.5555555556,3,Skewed
356,CameronBrittonH,525.5,516.0,3175.25,4,Symmetric
357,CameronCrowe,323.3333333333333,248.0,28737.746031746028,21,Skewed
358,CameronDLWalker,265.1666666666667,193.0,24993.972222222223,12,Skewed
359,CameronFields_,207.0,207.0,900.0,2,Symmetric
360,CameronFontana,238.66666666666666,210.5,10697.555555555557,6,Skewed
361,CameronFriesen,288.0,288.0,0.0,1,Symmetric
362,CameronFuller,565.4285714285714,341.0,190433.38775510204,7,Skewed
363,CameronKSHB,156.0,155.0,48.666666666666664,3,Symmetric
364,CameronLynch50,233.66666666666666,165.0,11174.222222222224,3,Skewed
365,CameronMaybin,2254.5238095238096,1445.0,5532521.106575965,63,Skewed
366,CameronNewton,631.1176470588235,475.0,168434.1626297578,68,Skewed
367,CameronOcasio,173.0,173.0,0.0,1,Symmetric
368,CameronPL,267.5,267.5,8190.25,2,Symmetric
369,CameronRidle,373.8181818181818,306.0,42128.87603305785,11,Symmetric
370,CameronWalker,163.36363636363637,160.0,371.86776859504135,11,Symmetric
371,CameronWhitten,151.0,151.0,20.0,4,Symmetric
372,CameronWolfe,297.9,246.0,20789.02333333333,90,Skewed
373,Cameron_Gray,349.375,235.5,55882.634375,40,Skewed
374,Cameron__Champ,381.4117647058824,292.0,79391.8892733564,17,Skewed
375,Cameronarcher_,144.0,144.0,0.0,1,Symmetric
376,Cameronvdburgh,314.6521739130435,232.0,34181.79206049148,23,Skewed
377,CameroonPm237,137.5344827586207,121.5,2106.0763971462543,58,Skewed
378,Camhumphreys3,517.0,517.0,0.0,1,Symmetric
379,CammAlive,373.0,373.0,0.0,1,Symmetric
380,CanadaSevens,64.8780487804878,63.0,339.32659131469364,41,Skewed
381,CapeTown7s,72.2,59.0,877.1999999999998,25,Skewed
382,CarrollJennifer,187.28571428571428,169.5,5899.061224489796,14,Symmetric
383,CaseyDHudson,566.7777777777778,486.0,134571.2839506173,9,Skewed
384,CaseyTheVA,128.21596244131456,98.0,5902.188102007979,213,Skewed
385,CassidyWtv,349.0,212.0,70524.57142857143,7,Skewed
386,CelesteforAR,262.875,173.5,24524.109375,8,Skewed
387,ChampionsCup,147.9496124031008,126.0,4463.94707349318,258,Skewed
388,ChanelRion,3059.2905405405404,2505.0,2857843.895315924,148,Skewed
389,ChantalOnAir,8.645669291338583,8.0,18.638229276458553,254,Symmetric
390,CharlesOakley34,7251.666666666667,7259.0,9562647.555555556,6,Symmetric
391,CharlesPulliam,203.60344827586206,155.5,15889.963436385253,116,Skewed
392,CharlesRanger23,620.0,620.0,0.0,1,Symmetric
393,CharlesSchwab,1.8792682926829267,2.0,1.7403019036287926,820,Symmetric
394,CheetahsRugby,8.388223552894212,7.0,30.95806490810794,1002,Skewed
395,Chilis,114.08333333333333,91.0,2765.9236111111113,144,Skewed
396,ChocolatePuma,315.5,315.5,1406.25,2,Symmetric
397,ChristelFox4KC,276.0,276.0,0.0,1,Symmetric
398,ChristianW,142.0,142.0,0.0,1,Symmetric
399,ChuckBell4,147.86206896551724,140.0,1539.2913198573128,29,Skewed
400,Cinco_Cinco3,315.0,315.0,0.0,1,Symmetric
401,Cisco,64.51241534988714,55.0,708.3672273489292,443,Skewed
402,CiscoANZ,1.097211155378486,1.0,1.483777082903446,1255,Skewed
